id;name;type;notes
1;Music sky blue;SHIPPING;quantifying Denar hack
2;Summit cutting-edge Soap;CUSTOMER;synthesizing
3;Ohio task-force;CLEARING;Small world-class Toys
4;Gorgeous Technician;AGENCY;JBOD
5;haptic Implemented;BANK;Awesome Savings Account program
6;Squares;SERVICE;Program XML quantifying
7;Pines front-end Licensed Steel Keyboard;CLEARING;Bond Markets Units European Composite Unit (EURCO)
8;Jewelery matrices;SHIPPING;implement Innovative
9;FTP Manager;CLEARING;Vatu
10;sensor Home Loan Account Dynamic;BANK;Personal Loan Account
