id;start_date;end_date;language
1;2020-10-25T08:19:27;2020-10-25T06:09:42;SPANISH
2;2020-10-24T13:09:38;2020-10-25T08:14:03;SPANISH
3;2020-10-25T04:04:57;2020-10-24T14:39:06;FRENCH
4;2020-10-24T19:22:28;2020-10-25T06:53:54;FRENCH
5;2020-10-25T04:52:46;2020-10-25T09:39:45;FRENCH
6;2020-10-24T22:45:07;2020-10-25T10:53:21;FRENCH
7;2020-10-25T00:30:27;2020-10-24T18:21:18;FRENCH
8;2020-10-24T23:26:40;2020-10-25T09:42:48;SPANISH
9;2020-10-24T22:07:49;2020-10-24T18:49:12;SPANISH
10;2020-10-25T06:19:53;2020-10-24T16:54:23;SPANISH
