id;name;category;quantity_type;hsn_number;description
1;Facilitator 3rd generation Auto Loan Account;OFFICESUPPLIES;LENGTH;Home;invoice
2;Global;RAWMATERIAL;VOLUME;synergies;e-business input
3;strategize hack;PACKINGMATERIAL;LENGTH;Representative Table protocol;HTTP bypassing Fresh
4;Tactics Beauty azure;CONSUMABLE;TEMPERATURE;Business-focused yellow Visionary;Advanced Self-enabling
5;Avon European Unit of Account 17(E.U.A.-17) Checking Account;OFFICESUPPLIES;VOLUME;Unbranded;bypass
6;enable Refined Wooden Shoes Towels;CONSUMABLE;LENGTH;withdrawal Credit Card Account;Ergonomic functionalities Saint Helena
7;Dynamic SMTP Falkland Islands Pound;RAWMATERIAL;WEIGHT;forecast driver;Arkansas
8;Incredible Wisconsin Handmade Soft Shoes;FINISHEDGOODS;WEIGHT;national exploit;Directives
9;Hat;CONSUMABLE;TEMPERATURE;XML sensor withdrawal;Credit Card Account
10;emulation payment;CONSUMABLE;WEIGHT;Montana Books;Tuna
