id;status;quantity;batch_number;unit_id;packing_id;product_id;location_id
1;READY;14220;North Carolina streamline Administrator;1;1;1;1
2;ONHOLD;28865;Awesome Soft Car Kwacha facilitate;2;2;2;2
3;OPENED;44089;markets Savings Account;3;3;3;3
4;READY;58876;THX tan Investment Account;4;4;4;4
5;OPENED;55213;European Monetary Unit (E.M.U.-6);5;5;5;5
6;TESTING;65450;transmitting;6;6;6;6
7;OPENED;65911;modular Coordinator;7;7;7;7
8;READY;58508;Assurance grey Malaysian Ringgit;8;8;8;8
9;CANCELED;49798;concept AI;9;9;9;9
10;CANPLAN;33849;SDD;10;10;10;10
