id;description;transaction_date;transaction_type
1;Rubber Chief;2020-10-27T01:45:52;PRODUCTION
2;Dynamic Fantastic Soft Pizza Maryland;2020-10-27T00:15:38;TRANSFORM
3;parse;2020-10-27T13:19:39;SALE
4;Division redundant;2020-10-26T22:56:44;PURCHASE
5;vertical COM Table;2020-10-27T08:01:08;SALE
6;mobile;2020-10-27T17:41:59;PRODUCTION
7;Savings Account Licensed Metal Pizza HDD;2020-10-27T17:23:45;TRANSFER
8;repurpose Credit Card Account Metal;2020-10-27T02:23:30;TRANSFER
9;facilitate;2020-10-27T08:12:58;PURCHASE
10;Cambridgeshire;2020-10-27T10:49:35;PURCHASE
