id;name;quantity_type;full_name;base_unit_multiplier;is_smaller_than_base
1;Automotive;TEMPERATURE;navigate;67819;false
2;deposit in;TEMPERATURE;override;14131;false
3;Handcrafte;LENGTH;relationships Antarctica (the territory South of 6;81589;false
4;gold optic;WEIGHT;Specialist;92582;false
5;cross-plat;OTHER;bypassing withdrawal Tasty Metal Gloves;83046;true
6;Cambridges;WEIGHT;Dynamic;4252;false
7;Colorado G;LENGTH;hacking;62569;true
8;Handmade T;LENGTH;analyzer;90741;false
9;Incredible;PIECES;Pizza;94347;false
10;Refined Gr;OTHER;Timor-Leste;74861;false
